timestamp,vibration,temperature,pressure,equipment_id,status
2026-01-01 00:00:00,49.825,75.3,101.5,EQ-001,normal
2026-01-01 00:01:00,55.123,73.8,98.2,EQ-001,normal
2026-01-01 00:02:00,47.987,76.2,103.1,EQ-001,normal
2026-01-01 00:03:00,52.345,74.5,99.8,EQ-001,normal
2026-01-01 00:04:00,48.765,75.9,102.3,EQ-001,normal
2026-01-01 00:05:00,51.234,73.4,100.5,EQ-001,normal
2026-01-01 00:06:00,49.567,76.1,97.9,EQ-001,normal
2026-01-01 00:07:00,53.890,74.2,101.8,EQ-001,normal
2026-01-01 00:08:00,47.456,75.7,102.6,EQ-001,normal
2026-01-01 00:09:00,50.123,73.9,99.1,EQ-001,normal
2026-01-01 00:10:00,54.789,74.8,100.9,EQ-001,normal
2026-01-01 00:11:00,48.234,76.3,98.7,EQ-001,normal
2026-01-01 00:12:00,51.901,75.1,103.4,EQ-001,normal
2026-01-01 00:13:00,49.678,73.6,99.5,EQ-001,normal
2026-01-01 00:14:00,52.456,75.4,101.2,EQ-001,normal
2026-01-01 00:15:00,48.901,74.9,100.3,EQ-001,normal
2026-01-01 00:16:00,53.123,76.0,98.6,EQ-001,normal
2026-01-01 00:17:00,47.678,73.3,102.1,EQ-001,normal
2026-01-01 00:18:00,50.890,75.8,99.9,EQ-001,normal
2026-01-01 00:19:00,54.456,74.1,101.4,EQ-001,normal
2026-01-01 00:20:00,48.123,76.5,100.7,EQ-001,normal
2026-01-01 00:21:00,51.789,73.2,98.4,EQ-001,normal
2026-01-01 00:22:00,49.345,75.6,102.8,EQ-001,normal
2026-01-01 00:23:00,52.901,74.4,99.2,EQ-001,normal
2026-01-01 00:24:00,47.567,76.8,101.1,EQ-001,normal
2026-01-01 00:25:00,50.234,73.7,100.5,EQ-001,normal
2026-01-01 00:26:00,53.678,75.2,98.9,EQ-001,normal
2026-01-01 00:27:00,48.456,74.9,102.5,EQ-001,normal
2026-01-01 00:28:00,51.123,76.4,99.3,EQ-001,normal
2026-01-01 00:29:00,49.789,73.1,101.7,EQ-001,normal
2026-01-01 00:30:00,52.345,75.3,100.1,EQ-001,normal
2026-01-01 00:31:00,72.456,89.6,102.9,EQ-001,failure_imminent
2026-01-01 00:32:00,75.123,87.2,103.4,EQ-001,failure_imminent
2026-01-01 00:33:00,73.789,91.1,101.8,EQ-001,failure_imminent
2026-01-01 00:34:00,74.345,88.9,104.2,EQ-001,failure_imminent
2026-01-01 00:35:00,76.901,86.5,102.1,EQ-001,failure_imminent
2026-01-01 00:36:00,71.678,90.3,100.5,EQ-001,failure_imminent
2026-01-01 00:37:00,73.234,88.7,103.7,EQ-001,failure_imminent
2026-01-01 00:38:00,75.456,87.9,101.2,EQ-001,failure_imminent
2026-01-01 00:39:00,72.890,92.1,104.5,EQ-001,failure_imminent
2026-01-01 00:40:00,74.123,86.8,102.3,EQ-001,failure_imminent
